,대구분,소구분,역명,위도,경도
689,지하철,4호선,상계,37.660878,127.073572
690,지하철,4호선,당고개,37.670272,127.079066
691,지하철,진접선,별내별가람,37.66778,127.11581
692,지하철,진접선,오남,37.705,127.19281
693,지하철,진접선,진접,37.7205,127.2034
694,지하철,3호선,오금,37.502129,127.128319
695,지하철,3호선,경찰병원,37.495918,127.12454
696,지하철,3호선,가락시장,37.492245,127.117757
697,지하철,3호선,수서,37.487378,127.101907
698,지하철,3호선,일원,37.483681,127.08439
699,지하철,3호선,대청,37.493514,127.079532
700,지하철,3호선,학여울,37.496663,127.070594
701,지하철,3호선,대치,37.494612,127.063642
702,지하철,3호선,도곡,37.490922,127.055452
703,지하철,3호선,매봉,37.486947,127.046769
704,지하철,3호선,양재(서초구청),37.484477,127.033902
705,지하철,3호선,남부터미널(예술의전당),37.485013,127.016189
706,지하철,3호선,교대(법원.검찰청),37.493025,127.013786
707,지하철,3호선,고속터미널,37.504891,127.004916
708,지하철,3호선,잠원,37.512759,127.01122
709,지하철,3호선,신사,37.516334,127.020114
710,지하철,3호선,압구정,37.527072,127.028461
711,지하철,3호선,옥수,37.541684,127.017269
712,지하철,3호선,금호,37.548034,127.015872
713,지하철,3호선,약수,37.554867,127.010541
714,지하철,3호선,동대입구,37.559052,127.005602
715,지하철,3호선,충무로,37.56143,126.994072
716,지하철,3호선,을지로3가,37.566672,126.992548
717,지하철,3호선,종로3가,37.571605,126.991791
718,지하철,3호선,안국,37.576477,126.985443
719,지하철,3호선,경복궁(정부서울청사),37.575762,126.97353
720,지하철,3호선,독립문,37.574571,126.957748
721,지하철,3호선,무악재,37.582299,126.950291
722,지하철,3호선,홍제,37.589066,126.943736
723,지하철,3호선,녹번,37.600927,126.935756
724,지하철,3호선,불광,37.610553,126.92982
725,지하철,3호선,연신내,37.619229,126.921038
726,지하철,3호선,구파발,37.636763,126.918821
727,지하철,3호선,지축,37.648033,126.913917
728,지하철,2호선,용두(동대문구청),37.574028,127.038091
729,지하철,2호선,신정네거리,37.520074,126.852912
730,지하철,2호선,양천구청,37.512398,126.865819
731,지하철,2호선,도림천,37.514287,126.882768
732,지하철,2호선,신설동,37.574747,127.024932
733,지하철,2호선,신답,37.57004,127.046481
734,지하철,2호선,용답,37.561904,127.050899
735,지하철,2호선,충정로(경기대입구),37.559704,126.964378
736,지하철,2호선,아현,37.557345,126.956141
737,지하철,2호선,이대,37.556733,126.946013
738,지하철,2호선,신촌,37.555131,126.936926
739,지하철,2호선,홍대입구,37.55679,126.923708
740,지하철,2호선,합정,37.549457,126.913808
741,지하철,2호선,당산,37.534946,126.902767
742,지하철,2호선,영등포구청,37.525706,126.89661
743,지하철,2호선,문래,37.517933,126.89476
744,지하철,2호선,신도림,37.508961,126.891084
745,지하철,2호선,대림(구로구청),37.493243,126.894932
746,지하철,2호선,구로디지털단지,37.485266,126.901401
747,지하철,2호선,신대방,37.487462,126.913149
748,지하철,2호선,신림,37.484201,126.929715
749,지하철,2호선,봉천,37.482362,126.941892
750,지하철,2호선,서울대입구(관악구청),37.481247,126.952739
751,지하철,2호선,낙성대,37.47693,126.963693
752,지하철,2호선,사당,37.476538,126.981544
753,지하철,2호선,방배,37.481426,126.997596
754,지하철,2호선,서초,37.491897,127.007917
755,지하철,2호선,교대(법원.검찰청),37.493961,127.014667
756,지하철,2호선,강남,37.49799,127.027912
757,지하철,2호선,역삼,37.500622,127.036456
758,지하철,2호선,선릉,37.504286,127.048203
759,지하철,2호선,삼성(무역센터),37.508844,127.06316
760,지하철,2호선,종합운동장,37.511022,127.073704
761,지하철,2호선,잠실새내,37.511687,127.086162
762,지하철,2호선,잠실(송파구청),37.513262,127.100159
763,지하철,2호선,잠실나루,37.520733,127.10379
764,지하철,2호선,강변(동서울터미널),37.535095,127.094681
765,지하철,2호선,구의(광진구청),37.537077,127.085916
766,지하철,2호선,건대입구,37.540373,127.069191
767,지하철,2호선,성수,37.544581,127.055961
768,지하철,2호선,뚝섬,37.547184,127.047367
769,지하철,2호선,한양대,37.555273,127.043655
770,지하철,2호선,왕십리(성동구청),37.561238,127.036954
771,지하철,2호선,상왕십리,37.564354,127.029354
772,지하철,2호선,신당,37.56564,127.019614
773,지하철,2호선,동대문역사문화공원,37.565613,127.009054
774,지하철,2호선,을지로4가,37.566595,126.997817
775,지하철,2호선,을지로3가,37.566306,126.991696
776,지하철,2호선,을지로입구,37.566014,126.982618
777,지하철,2호선,시청,37.563588,126.975411
778,지하철,1호선,동묘앞,37.573197,127.01648
779,지하철,1호선,청량리(서울시립대입구),37.579956,127.044585
780,지하철,1호선,제기동,37.578103,127.034893
781,지하철,1호선,신설동,37.576048,127.024634
782,지하철,1호선,동대문,37.571687,127.01093
783,지하철,1호선,종로5가,37.570926,127.001849
784,지하철,1호선,종로3가,37.570406,126.991847
785,지하철,1호선,종각,37.570161,126.982923
786,지하철,1호선,시청,37.565715,126.977088
787,지하철,1호선,서울역,37.556228,126.972135
