,대구분,소구분,병원명,위도,경도
1875,병원,한의원,용산한의원,37.58587596205719,127.0382681600864
1876,병원,의원,연세탄탄재활의학과의원,37.5221803249649,126.919916550827
1877,병원,의원,연세탑뷰티의원,37.4870042036257,126.982744496134
1878,병원,의원,연세테라이비인후과의원,37.4846614982049,127.120933640924
1879,병원,의원,연세키즈소아과의원,37.489067396130935,126.94835723826895
1880,병원,한의원,강일경희한의원,37.5717706860351,127.173328226781
1881,병원,의원,연세이비인후과의원,37.5513452148053,126.962570190199
1882,병원,의원,연세튼튼의원,37.501880498472,127.110688546309
1883,병원,의원,연세튼튼의원,37.490662805417934,126.9258405414051
1884,병원,의원,연세팜스의원,37.6139964990436,126.926499742667
1885,병원,한의원,예담한의원,37.52333803351427,126.93320833465762
1886,병원,의원,연세퍼스트이비인후과의원,37.4828272746585,127.060754455027
1887,병원,의원,연세펠리체여성의원,37.4890546234463,127.067186912363
1888,병원,한의원,365광덕안정한의원,37.5705695995036,126.989803735786
1889,병원,의원,강남리즈의료생활협동조합강남리즈의원,37.4911043116113,126.893557762631
1890,병원,의원,연세푸른이비인후과의원,37.5063918465946,126.883427027522
1891,병원,의원,강남연세안과의원,37.5048110738687,127.048597161488
1892,병원,한의원,예명한의원,37.4799745889529,126.95788764302576
1893,병원,의원,연세참의원,37.5599308118771,126.916342567679
1894,병원,한의원,월오한의원,37.5572068050144,127.0804491297
1895,병원,의원,우리김소아과의원,37.6187240225,127.0670825484
1896,병원,치과의원,우리치과의원,37.65158095086501,127.03614710789948
1897,병원,의원,연세프렌즈소아청소년과의원,37.6530537904638,127.061324512782
1898,병원,의원,연세플러스의원,37.5413421541668,126.948897374412
1899,병원,의원,연세피부과의원,37.6650917520309,127.057311765841
1900,병원,의원,연세피부과의원,37.4763957089063,126.964508605527
1901,병원,의원,연세필정신건강의학과의원,37.5151952835,127.0203647828
1902,병원,의원,연세필정신건강의학과의원,37.5564860972,126.9449969863
1903,병원,의원,예뻐지는의원,37.58928099772928,126.91791219520724
1904,병원,의원,연세필정신건강의학과의원,37.57074374658343,126.97986517260176
1905,병원,치과의원,EB치과의원,37.5754486923863,127.07228254527
1906,병원,의원,우리들내과의원,37.5256154559,126.8594132635
1907,병원,의원,연세하나로의원,37.56774666698547,127.00818151520949
1908,병원,한의원,경희민한의원,37.536726308119135,126.8822114879614
1909,병원,의원,우리이화의원,37.5191244223,126.8368243915
1910,병원,의원,연세하이소아청소년과의원,37.561269981305934,126.82036300197063
1911,병원,의원,연세한결소아청소년과의원,37.56670654664499,126.81856946479294
1912,병원,의원,유이비인후과의원,37.53419714699371,127.07183565135988
1913,병원,한의원,경희바라봄한의원,37.476155059,126.8912875974
1914,병원,의원,연세한정형외과의원,37.5120856031,127.0841884297
1915,병원,의원,연세재활의학과의원,37.5264593103148,126.863931880867
1916,병원,의원,연세햇살정신건강의학과의원,37.48257444123591,126.9302534836066
1917,병원,의원,연세허브여성의원,37.535349758,127.0934063083
1918,병원,치과의원,예스치과의원,37.6094747306704,126.927120074193
1919,병원,의원,강일바른내과의원,37.5725645707407,127.176236567245
1920,병원,의원,연세후이비인후과의원,37.49539096228517,127.11690484416684
1921,병원,한의원,경희바로추한의원,37.48518980283563,126.9944732706855
1922,병원,의원,연세휴정신건강의학과의원,37.4963483296,127.0278548788
1923,병원,한의원,오세료한의원,37.45791883694096,126.89970506405646
1924,병원,치과의원,오케이치과의원,37.533321881,126.9035731233
1925,병원,의원,연세힐정신건강의학과의원,37.6515712309,127.077401454
1926,병원,의원,강일성모내과의원,37.5652410196081,127.174353860744
1927,병원,의원,연소아과의원,37.52599465879082,126.99996832392192
1928,병원,의원,윤경선의원,37.50115565458079,127.05083230469889
1929,병원,한의원,경희바로커한의원,37.5022960605,127.0950434167
1930,병원,치과의원,연세하모니치과의원,37.4951255164423,127.130915993674
1931,병원,의원,연세하이눈성형외과의원,37.5263096990298,127.027465990023
1932,병원,의원,연세조홍근내과의원,37.5576188388403,127.080039873331
1933,병원,치과의원,유디서대문치과의원,37.5675121669,126.9687772267
1934,병원,치과의원,올바른치과의원,37.48604004306883,127.12026072702368
1935,병원,한의원,월곡건강한의원,37.603700560962736,127.04013000033656
1936,병원,치과의원,이든치과의원,37.5056916289,127.0541830866
1937,병원,의원,연이산부인과의원,37.507116419,127.009871399
1938,병원,의원,연피부과의원,37.51175830033497,127.0962939388911
1939,병원,의원,연한풀피부과의원,37.5107001999,127.0862137284
1940,병원,치과의원,IP&I치과의원,37.57501108665819,126.98124906188504
1941,병원,의원,강남메이저의원,37.4981119857603,127.060008815305
1942,병원,의원,강남연세우노비뇨기과의원,37.4985885669089,127.030856939816
1943,병원,의원,연세헤어성형외과의원,37.4986224205,127.0280638046
1944,병원,한의원,경희바른맥한의원,37.4953096679,127.1241691362
1945,병원,한의원,경희바른몸한의원,37.541101659584456,127.01524379317156
1946,병원,치과의원,연세치과의원,37.5942237088269,126.917854566217
1947,병원,의원,우리들의원,37.50647142565364,127.11628034720545
1948,병원,한의원,으뜸한의원,37.57311352552849,126.81799247188457
1949,병원,의원,유알성형외과의원,37.52599517638405,127.03975347744324
1950,병원,의원,강일태이비인후과의원,37.599688702066,127.079466740593
1951,병원,한의원,경희바른선한의원,37.518899700152346,126.93077622854648
1952,병원,의원,으뜸연합의원,37.625117099089294,127.0180340011835
1953,병원,한의원,은행나무사랑한의원,37.4528854592,126.9058871218
1954,병원,의원,강남연세인의원,37.4958178806,127.0305144013
1955,병원,한의원,강남영도한의원,37.52486177890328,127.03940079308724
1956,병원,의원,강재활의학과닥터포유의원,37.571449705126,127.070212938267
1957,병원,한의원,강남명인한의원,37.4945603877761,127.062632515245
1958,병원,치과의원,강재훈치과의원,37.6057460344012,127.078966619095
1959,병원,한의원,영한의원,37.50377201795143,127.05119598345225
1960,병원,한의원,경희바른정한의원,37.55723459898463,127.16468469235708
1961,병원,의원,열린소아청소년과의원,37.60270919075735,127.01715660480072
1962,병원,의원,오창준외과의원,37.5910984571,127.037197439
1963,병원,의원,JHW가인안과의원,37.603183910563,127.024823216768
1964,병원,한의원,유닥터한의원,37.58487665662665,127.00030342396455
1965,병원,한의원,오방글경희한의원,37.49246342966029,127.02680859298488
1966,병원,의원,영등포이안과의원,37.521897129399406,126.904619054197
1967,병원,치과의원,JnS오치과의원,37.5090820833277,127.12577799269
1968,병원,의원,강남모아사랑의원,37.5005039452946,127.025899958924
1969,병원,병원,의료법인제일의료재단제일병원,37.56136522685123,126.99928514459435
1970,병원,의원,예뻐진의원,37.514553031691904,127.1079672461416
1971,병원,의원,강정수이비인후과의원,37.5200828278632,126.860302811899
1972,병원,한의원,경희바른한의원,37.54946805668979,126.8516687818048
1973,병원,의원,강남연세재활의학과의원,37.5021563648911,127.012024373585
1974,병원,한의원,경희바른한의원,37.5036470412,126.8638968397
1975,병원,치과의원,유광희치과의원,37.51918142378224,127.04086845077518
1976,병원,의원,영의원,37.5035436634397,127.022399023384
1977,병원,치과의원,강정수치과의원,37.5367003001398,127.122365863486
1978,병원,의원,유망안과의원,37.549554740439824,126.86695032522192
1979,병원,치과의원,강남모아치과의원,37.510364123748,127.021248744999
1980,병원,한의원,황금사과한의원,37.4888654078,127.0520135015
1981,병원,한의원,경희바른한의원,37.55734981595944,127.0874233001025
1982,병원,치과병원,연치과병원,37.4942633335042,127.061934331534
1983,병원,의원,강미자산부인과의원,37.4999513063416,126.929559239366
1984,병원,한의원,경희바름한의원,37.4983618704159,127.06046905373
1985,병원,의원,예몸의원,37.5191578799,127.0504689607
1986,병원,의원,연합의원,37.54836604721704,127.02304898938792
1987,병원,한의원,강남해통한의원,37.503112648361,127.021778119932
1988,병원,의원,건이비인후과의원,37.4787457051365,126.981343915956
1989,병원,한의원,경희박현준한의원,37.57009132955546,126.96294489169284
1990,병원,치과의원,강남물방울치과의원,37.5106173003053,127.055030980435
1991,병원,한의원,강남행복한의원,37.5172805222455,127.035728270055
1992,병원,치과의원,강주일치과의원,37.5059966197419,127.081352429161
1993,병원,치과의원,강남현대치과의원,37.5087436940538,127.058342385872
1994,병원,한의원,응암정한의원,37.58852363002514,126.91714763685346
1995,병원,의원,강봉수가정의학과의원,37.5244384462917,126.841526115844
1996,병원,한의원,워커힐한의원,37.5489889776,127.1083020688
1997,병원,병원,강북21세기병원,37.5940484210525,127.085631420521
1998,병원,의원,강남미건의원,37.49426510532846,127.02826119661972
1999,병원,의원,강준구내과의원,37.6387460013087,127.038510983653
2000,병원,한의원,경희방화한의원,37.56418219193632,126.81068422989829
2001,병원,치과의원,강북가이드치과의원,37.6432302306561,127.021839242309
2002,병원,종합병원,강동경희대학교의대병원,37.5520459324005,127.157084787845
2003,병원,치과의원,강북감동치과의원,37.6484305671088,127.034197462542
2004,병원,치과의원,강북경희치과의원,37.634911545803,127.023616765814
2005,병원,한의원,강지천한의원,37.66910334921594,127.054811799027
2006,병원,요양병원,강남효요양병원,37.4830441351628,126.939397101326
2007,병원,의원,예젤의원,37.5063934350021,127.041207603224
2008,병원,의원,예젤의원,37.51270618974093,127.0426012937062
2009,병원,치과의원,윤석민치과의원,37.503188888888886,126.93653055555554
2010,병원,보건소,강북구보건소,37.63214337997896,127.03884474673563
2011,병원,한의원,경희배흘림한의원,37.48605832467143,126.8943560609547
2012,병원,의원,이소아과의원,37.55496279235002,127.13753639482884
2013,병원,한의원,예천박한의원,37.5886690956,126.9438501341
2014,병원,치과의원,강북다인치과의원,37.6489950789907,127.035265943337
2015,병원,의원,이화의원,37.57657011409483,127.06713034978304
2016,병원,의원,강남훈내과의원,37.52915882281992,127.08273689854958
2017,병원,한의원,우리마을한의원,37.6101450184266,127.05634721742986
2018,병원,치과의원,강북바를정치과의원,37.6449900552897,127.020195302958
2019,병원,한의원,효경한의원,37.53550183777308,127.06916259575318
2020,병원,의원,강지혜소아청소년과의원,37.4984748324042,127.14641603571
2021,병원,한의원,경희백세인한의원,37.4836833605,126.9955090573
2022,병원,의원,강북밝은안과의원,37.5792781556077,127.043012785781
2023,병원,치과의원,강북백상치과의원,37.6425448823211,127.022634105373
2024,병원,한의원,경희베네치아한의원,37.5708105464699,127.021463886656
2025,병원,한의원,경희베일리한의원,37.5049020694443,126.999480997797
2026,병원,의원,이상문소아과의원,37.46502506037134,126.90230312495538
2027,병원,의원,옥수연세의원,37.5417089096844,127.017974967673
2028,병원,한의원,경희벽산한의원,37.5850184486713,127.044061997258
2029,병원,한의원,경희별한의원,37.515773294,126.8628070305
2030,병원,치과의원,L&B치과의원,37.6373240554406,127.024348524417
2031,병원,의원,강북보아스이비인후과의원,37.6305848411628,127.024886365673
2032,병원,의원,이정욱피부과의원,37.4917966214,127.0270842631
2033,병원,한의원,경희보궁한의원,37.51770652910047,127.0194842889648
2034,병원,의원,예지소아청소년과의원,37.6138557843,126.9120408812
2035,병원,치과의원,강북사랑으로치과의원,37.6044366338576,127.039164507579
2036,병원,의원,강북삼성내과의원,37.6011336684453,126.929999928224
2037,병원,의원,이남욱가정의학과의원,37.572304329812816,127.0681547875534
2038,병원,요양병원,의료법인참예원의료재단 송파참노인전문병원,37.50353741258824,127.13740581427032
2039,병원,치과의원,81도치과교정과치과의원,37.4931741239317,127.013036802702
2040,병원,종합병원,강북삼성병원,37.56849763123383,126.96793805451702
2041,병원,치과의원,오민구치과의원,37.4898474387668,126.952985510916
2042,병원,치과의원,LBO산치과의원,37.5953217946712,127.079577141932
2043,병원,의원,강북삼성의원,37.613453428334,127.064484472177
2044,병원,한의원,경희복조리한의원,37.5382264012,127.1431358557
2045,병원,치과의원,오목교정치과의원,37.5235884341471,126.875774509668
2046,병원,치과의원,온치과의원,37.6108648284908,127.01797449683
2047,병원,의원,원케이의원,37.5712907438053,127.000709973643
2048,병원,의원,와이디의원,37.5424670890441,126.951330656363
2049,병원,의원,와이앤티성형외과의원,37.5236610911879,127.027941955388
2050,병원,의원,강남미의원,37.4991294255,127.03259205
2051,병원,의원,와이케이(YK)박윤기피부과의원,37.4940678905445,127.016210341045
2052,병원,의원,와이퀸산부인과의원,37.5249602205031,127.040210980624
2053,병원,치과의원,강남연세치과의원,37.4825134167189,127.0611746831
2054,병원,치과의원,이살리는치과의원,37.48499002482655,127.03535378667196
2055,병원,의원,강남엔비의원,37.4995535963247,127.025752388871
2056,병원,의원,강창순내과의원,37.4942633335042,127.061934331534
2057,병원,의원,용산더힐내과의원,37.541910094919,126.970364691772
2058,병원,한의원,경희본한의원,37.502724418571205,126.84906967667352
2059,병원,의원,88신경외과의원,37.493335973391,126.89821279355
2060,병원,의원,강창원내과의원,37.6100077607291,126.929955143523
2061,병원,한의원,경희김주원한의원,37.5653393912938,126.989596182183
2062,병원,한의원,경희본한의원,37.4890546234463,127.067186912363
2063,병원,의원,용훼미리의원,37.5271963248801,127.00028916198
2064,병원,의원,우대마취통증의학과의원,37.5807727094014,127.089210569993
2065,병원,치과의원,와이즈치과의원,37.4961320798208,127.013481283823
2066,병원,의원,강남미즈힐산부인과의원,37.4853735070328,127.034082861809
2067,병원,의원,강남미켈란의원,37.5248722572746,127.050379366946
2068,병원,의원,올리올리의원,37.5082424138493,127.033102482675
2069,병원,의원,이상율마취통증의학과의원,37.50141074900288,127.11016944053574
2070,병원,한의원,경희꿈한의원,37.5798013523891,126.970435719624
2071,병원,의원,우리공감정신건강의학과의원,37.4860552797801,127.12100938212
2072,병원,의원,우리내과의원,37.4530428916984,126.901712234507
2073,병원,의원,우리내과의원,37.5916125153851,127.077389475675
2074,병원,병원,강남힐병원,37.4816513439454,126.911648078471
2075,병원,의원,우리동네내과의원,37.5444976321635,126.935295585029
2076,병원,의원,우리동네소아청소년과의원,37.5201457860245,126.97187711918
2077,병원,의원,윤안과의원,37.49897924824319,127.05191310269912
2078,병원,의원,우리들내과의원,37.4978004006706,127.054465189148
2079,병원,의원,우리들내과의원,37.536424491472,127.063547324205
2080,병원,한의원,오케이한의원,37.5881991874,127.0879515628
2081,병원,의원,이수비뇨기과의원,37.48490870307221,126.98155415591854
2082,병원,의원,윤의원,37.518341350926406,126.97830410288871
2083,병원,의원,윈가정의학과의원,37.5113947853,127.0825543919
2084,병원,의원,오클릭의원,37.5600926354663,126.838304106686
2085,병원,의원,우리들의피부과의원,37.5752762915537,127.037769621436
2086,병원,의원,우리들이비인후과의원,37.6114698165443,127.035565905427
2087,병원,의원,우리마취통증의학과의원,37.5447523880259,127.054242462371
2088,병원,의원,우리맑은의원,37.6261436910197,127.026574236378
2089,병원,한의원,경희나라한의원,37.50300778767766,127.01041823381127
2090,병원,의원,우리사랑내과의원,37.6123341513595,126.928663502355
2091,병원,의원,우리서울안과의원,37.5248304019543,126.87002254331
2092,병원,종합병원,재단법인베스티안재단베스티안서울병원,37.49807126965969,127.05726710883552
2093,병원,의원,우리성내과의원,37.6202802179461,127.017573969681
2094,병원,의원,우리성모안과의원,37.6195878442183,126.920379331437
2095,병원,한의원,경희약손한의원,37.5996874401519,127.07946753193382
2096,병원,의원,우리소아청소년과의원,37.5386030532321,126.954943490673
2097,병원,치과의원,이(E)-나은치과의원,37.49761537952875,127.10253282307022
2098,병원,의원,강민모내과의원,37.5456110578266,127.133301232456
2099,병원,의원,우리엘의원,37.520169200264,127.056368965172
2100,병원,의원,우리연세재활의학과의원,37.6177396467333,127.051171404183
2101,병원,의원,강남미의원,37.4991297862601,127.032590806228
2102,병원,치과의원,전농치과의원,37.57749986983338,127.05721016984457
2103,병원,의원,우리원헬스케어영상의학과의원,37.5674727196383,126.98811318937
2104,병원,의원,강남연정신건강의학과의원,37.5165402749359,127.04016223452
2105,병원,한의원,용하한의원,37.489232132,127.067957101
2106,병원,의원,임병제안과의원,37.5051103233,127.0483151777
2107,병원,한의원,8메디한의원,37.4930099175,127.0134202253
2108,병원,한의원,365구구한의원,37.553024265332,126.826339474914
2109,병원,치과의원,이재성치과의원,37.49159206833493,126.89231912514585
2110,병원,치과의원,강남믿음치과의원,37.4981314601413,127.02527908458
2111,병원,치과의원,유씨서울치과교정과치과의원,37.52333879830001,127.0279599352
2112,병원,한의원,강북삼성한의원,37.6247870321599,127.018837178577
2113,병원,의원,강북서울외과의원,37.6204222475002,127.019095469624
2114,병원,의원,우림성모이비인후과의원,37.5953699303131,127.099713778759
2115,병원,의원,강남바른내과의원,37.4985303841214,127.052094163626
2116,병원,한의원,경희본한의원,37.56368823762821,127.03160600911848
2117,병원,의원,강남바른정형외과의원,37.4980657284682,127.029382413368
2118,병원,의원,우아인성형외과의원,37.5051960660157,127.025700266315
2119,병원,의원,우리이비인후과의원,37.5157276361757,127.131063164753
2120,병원,치과의원,임플라인치과의원,37.47874444398077,126.98134549907532
2121,병원,의원,우정정형외과의원,37.5646301110665,127.174071506529
2122,병원,의원,우정희산부인과의원,37.5381084632581,127.126395521678
2123,병원,의원,강남박내과의원,37.4964807817238,127.029326833418
2124,병원,한의원,경희나래한의원,37.56498089941236,127.05456103528104
2125,병원,한의원,경희나린한의원,37.6779519563714,127.055661285205
2126,병원,치과병원,강동경희대학교치과병원,37.5520459324005,127.157084787845
2127,병원,한의원,경희나봄한의원,37.49521423221774,127.15326732011872
2128,병원,한의원,경희봄봄한의원,37.5670466069498,126.979375711608
2129,병원,치과의원,우리아이치과의원,37.5367887874337,127.096160584389
2130,병원,의원,원더풀성형외과의원,37.5245744023832,127.0288370151
2131,병원,의원,원의원,37.5856886376313,127.052572280742
2132,병원,치과의원,용산원치과의원,37.5309782759738,126.972304667752
2133,병원,한의원,원케어한의원,37.524576018542,126.873059416625
2134,병원,한의원,경희봄빛한의원,37.4972772254047,126.953193680391
2135,병원,한의원,용산자윤한의원,37.5288173852679,126.966653789116
2136,병원,한의원,강추한의원,37.4925789859992,127.029267185467
2137,병원,한의원,잠실솔한의원,37.51137144476963,127.08497485052932
2138,병원,의원,강북서울이비인후과의원,37.6414252573848,127.017117690358
